MESHS,count_cell,count_all,value_all,count_dmg,value_dmg,value_affected,MDR,PAA,MDD,PVA
0,2768.0,12609.0,12615047612.427917,34.0,120269.58052998291,32617289.13517753,9.533818993397805e-06,0.002696486636529463,0.0036872954104660086,0.0025855858921249005
20,6.0,23.0,26120769.904904038,4.0,1683.5227016358713,5374019.737433422,6.445149617583817e-05,0.17391304347826086,0.00031327065844382343,0.20573741727361866
21,6.0,23.0,26120769.904904038,4.0,1683.5227016358713,5374019.737433422,6.445149617583817e-05,0.17391304347826086,0.00031327065844382343,0.20573741727361866
22,6.0,23.0,26120769.904904038,4.0,1683.5227016358713,5374019.737433422,6.445149617583817e-05,0.17391304347826086,0.00031327065844382343,0.20573741727361866
23,6.0,23.0,26120769.904904038,4.0,1683.5227016358713,5374019.737433422,6.445149617583817e-05,0.17391304347826086,0.00031327065844382343,0.20573741727361866
24,6.0,23.0,26120769.904904038,4.0,1683.5227016358713,5374019.737433422,6.445149617583817e-05,0.17391304347826086,0.00031327065844382343,0.20573741727361866
25,9.0,41.0,41359937.8960533,10.0,119178.7159654778,10245695.281341083,0.002881501327806641,0.24390243902439024,0.011632076954554734,0.24772027721827797
26,9.0,41.0,41359937.8960533,10.0,119178.7159654778,10245695.281341083,0.002881501327806641,0.24390243902439024,0.011632076954554734,0.24772027721827797
27,15.0,69.0,69754676.97946085,16.0,122583.9101482759,15608068.717565378,0.0017573575773904098,0.2318840579710145,0.007853880730952927,0.22375659086144356
28,15.0,69.0,69754676.97946085,16.0,122583.9101482759,15608068.717565378,0.0017573575773904098,0.2318840579710145,0.007853880730952927,0.22375659086144356
29,21.0,92.0,92435731.12732825,16.0,122583.9101482759,15608068.717565378,0.0013261528702512146,0.17391304347826086,0.007853880730952927,0.16885319699657697
30,19.0,87.0,83782063.70512481,16.0,147207.67483500586,14451365.938895028,0.001757030900469469,0.1839080459770115,0.010186419433114264,0.17248758624229332
31,38.0,164.0,158595131.84126616,44.0,441794.30921487825,41712940.56529652,0.0027856738355440756,0.2682926829268293,0.010591301002222634,0.2630152645987012
32,38.0,164.0,158595131.84126616,44.0,441794.30921487825,41712940.56529652,0.0027856738355440756,0.2682926829268293,0.010591301002222634,0.2630152645987012
33,44.0,193.0,191401948.9352094,48.0,500439.5470901082,47114332.85617287,0.0026146000595819938,0.24870466321243523,0.01062181117193812,0.2461538825402521
34,44.0,193.0,191401948.9352094,48.0,500439.5470901082,47114332.85617287,0.0026146000595819938,0.24870466321243523,0.01062181117193812,0.2461538825402521
35,45.0,199.0,196997995.36335042,54.0,503421.141224803,54192521.45299063,0.0025554632690361866,0.271356783919598,0.009289494707521523,0.2750917406699288
36,42.0,181.0,181758827.37220114,48.0,385925.9479609611,49320845.90908297,0.002123285859292389,0.26519337016574585,0.007824803910954184,0.27135323561526387
37,42.0,181.0,181758827.37220114,48.0,385925.9479609611,49320845.90908297,0.002123285859292389,0.26519337016574585,0.007824803910954184,0.27135323561526387
38,36.0,153.0,153364088.28879362,42.0,382520.753778163,43958472.472858675,0.0024942002919083237,0.27450980392156865,0.008701866381147415,0.28662819936100215
39,48.0,215.0,217497983.66527689,54.0,546121.0023518724,56483640.43808263,0.0025109244377747282,0.25116279069767444,0.00966865800639267,0.25969730609093516
40,42.0,192.0,194816929.5174095,54.0,546121.0023518724,56483640.43808263,0.002803252282564433,0.28125,0.00966865800639267,0.2899318892767739
41,38.0,174.0,177349827.03470892,50.0,519813.71496350656,52266323.47931956,0.0029310077356984082,0.28735632183908044,0.009945480767729598,0.2947074962136308
42,19.0,97.0,102536758.89856756,22.0,225227.08058363412,25004748.852918055,0.0021965496374469523,0.2268041237113402,0.009007372235908305,0.24386131492271473
43,19.0,97.0,102536758.89856756,22.0,225227.08058363412,25004748.852918055,0.0021965496374469523,0.2268041237113402,0.009007372235908305,0.24386131492271473
44,13.0,68.0,69729941.80462429,18.0,166581.84270840415,19603356.56204171,0.0023889571451980894,0.2647058823529412,0.00849761836352858,0.2811325530281982
45,26.0,124.0,122151773.86641587,50.0,801459.2078423691,50430195.86014147,0.006561175351565815,0.4032258064516129,0.015892446859914314,0.4128486575667047
46,25.0,118.0,116555727.43827486,44.0,798477.6137076743,43352007.26332371,0.00685060812760599,0.3728813559322034,0.01841846927312165,0.37194231648789544
47,34.0,151.0,151053002.21550763,60.0,1099776.0877834228,58358020.202214,0.007280729754807322,0.3973509933774834,0.01884532895346061,0.3863413460591435
48,34.0,151.0,151053002.21550763,60.0,1099776.0877834228,58358020.202214,0.007280729754807322,0.3973509933774834,0.01884532895346061,0.3863413460591435
49,42.0,186.0,186247288.96044284,82.0,1526998.3643286284,80911990.10562907,0.008198768276583872,0.44086021505376344,0.018872337243654013,0.4344331160858616
50,30.0,124.0,122113393.58395953,70.0,1363398.115754919,68386822.14040512,0.011165017003785988,0.5645161290322581,0.019936561943991543,0.5600272020397623
51,30.0,124.0,122113393.58395953,70.0,1363398.115754919,68386822.14040512,0.011165017003785988,0.5645161290322581,0.019936561943991543,0.5600272020397623
52,30.0,124.0,122113393.58395953,70.0,1363398.115754919,68386822.14040512,0.011165017003785988,0.5645161290322581,0.019936561943991543,0.5600272020397623
53,30.0,124.0,122113393.58395953,70.0,1363398.115754919,68386822.14040512,0.011165017003785988,0.5645161290322581,0.019936561943991543,0.5600272020397623
54,30.0,124.0,122113393.58395953,70.0,1363398.115754919,68386822.14040512,0.011165017003785988,0.5645161290322581,0.019936561943991543,0.5600272020397623
55,47.0,207.0,204843928.04956496,128.0,2689140.6307222475,127171889.52138494,0.013127753682167093,0.6183574879227053,0.02114571577762118,0.6208233298993069
56,34.0,151.0,152422095.9877734,96.0,2054263.2655882826,96345050.2232852,0.013477463698918472,0.6357615894039735,0.021321938810840924,0.6320937236751656
57,45.0,197.0,195411968.83309636,127.0,2723486.1634181095,123709705.30753544,0.013937151238388427,0.6446700507614214,0.02201513742715395,0.6330712803635756
58,36.0,164.0,160914694.05586356,111.0,2422187.689342361,108703692.36864515,0.015052619672517092,0.676829268292683,0.022282478511659324,0.6755361466921553
59,36.0,164.0,160914694.05586356,111.0,2422187.689342361,108703692.36864515,0.015052619672517092,0.676829268292683,0.022282478511659324,0.6755361466921553
60,29.0,134.0,131656739.73665863,89.0,1994965.4127971553,86149722.46523008,0.01515277848128025,0.664179104477612,0.023156956931606146,0.6543510240155405
61,41.0,187.0,184642299.2968558,130.0,2670184.9065449135,126453754.5192647,0.014461393281568515,0.6951871657754011,0.02111590056535745,0.6848579929995381
62,41.0,187.0,184642299.2968558,130.0,2670184.9065449135,126453754.5192647,0.014461393281568515,0.6951871657754011,0.02111590056535745,0.6848579929995381
63,53.0,237.0,230263909.24986723,173.0,3548151.565928783,169920247.4639296,0.015409065091822802,0.729957805907173,0.0208812758861005,0.7379369525058455
64,53.0,237.0,230263909.24986723,173.0,3548151.565928783,169920247.4639296,0.015409065091822802,0.729957805907173,0.0208812758861005,0.7379369525058455
65,55.0,247.0,237106574.60855764,183.0,3731695.9200708084,179793022.7806064,0.015738475098092553,0.7408906882591093,0.020755510210340222,0.7582793647853462
