,PAA,MDD,MDR,PAA_smooth,MDD_smooth,MDR_smooth,PAA_emanuel,MDR_emanuel,MDD_emanuel
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,0.17391304347826086,0.00031327065844382343,6.445149617583817e-05,0.1653864482642455,-0.00138220587133542,-0.00031583511421779645,0.0648091859469716,2.229652662020038e-06,0.002091575971614537
21,0.17391304347826086,0.00031327065844382343,6.445149617583817e-05,0.1739732637526214,0.0001340162323712058,3.910520920330403e-05,0.07426606533153296,8.920037732016355e-06,0.00247636589858882
22,0.17391304347826086,0.00031327065844382343,6.445149617583817e-05,0.18257453605509735,0.0016841725399078466,0.0003984713047368502,0.08444943077208918,2.2930513242837918e-05,0.0028950918892380415
23,0.17391304347826086,0.00031327065844382343,6.445149617583817e-05,0.19110499921953297,0.0032513082859767133,0.0007584603062789051,0.09534796326319425,4.694236379289876e-05,0.0033460091265692573
24,0.17391304347826086,0.00031327065844382343,6.445149617583817e-05,0.19930945759225072,0.004782766630423713,0.0011074101526479324,0.10694451481901346,8.359716313622438e-05,0.003826884044550125
25,0.24390243902439024,0.011632076954554734,0.002881501327806641,0.20676473699440773,0.006185150367494582,0.0014250834566967448,0.11921630074669219,0.00013547352239521784,0.0043350531401571855
26,0.24390243902439024,0.011632076954554734,0.002881501327806641,0.2130535554557803,0.007348664011366346,0.0016888914625254826,0.13213518380941924,0.0002050590378623292,0.004867494084710096
27,0.2318840579710145,0.007853880730952927,0.0017573575773904098,0.2181923580896881,0.008216150841398585,0.0018905475892593137,0.14566804464663624,0.0002947180915409662,0.005420905704702174
28,0.2318840579710145,0.007853880730952927,0.0017573575773904098,0.22268777494761827,0.008797660681514094,0.002038156796115032,0.15977723005903854,0.00040665639050912924,0.0059917929978348505
29,0.17391304347826086,0.007853880730952927,0.0013261528702512146,0.22728459003816334,0.009142183550147644,0.002146378848814844,0.17442106835151408,0.0005428833709106929,0.0065765532549144235
30,0.1839080459770115,0.010186419433114264,0.001757030900469469,0.23257679334714604,0.009313006011299217,0.002227923486118844,0.18955443897486407,0.0007051738189600442,0.007171559560599616
31,0.2682926829268293,0.010591301002222634,0.0027856738355440756,0.2385266700275101,0.00937250532514643,0.0022878535785479364,0.20512938230448266,0.0008950302521691509,0.007773238401785389
32,0.2682926829268293,0.010591301002222634,0.0027856738355440756,0.2445176050548102,0.009379826626848924,0.002326090546892388,0.22109573459350385,0.0011136477355814499,0.008378138754828872
